Name,Dob,Gender,Religion,Email,Phone,Address,Class,Section,Username,Password,Roll,BloodGroup,State,Country,RegistrationNO,Group,OptionalSubject
Abdul  Hannan,20-12-2002,Male,Islam,adGR951@irex.pk,90078601,Pakistan,1,B,adGR951,123456,GR951,AB+,Sindh,Pakistan,152,Arts,
Afshan,20-12-2002,Female,Islam,adGR807@irex.pk,90078601,Pakistan,1,B,adGR807,123456,GR807,AB+,Sindh,Pakistan,135,Arts,
Ahmed,20-12-2002,Male,Islam,adGR652@irex.pk,90078601,Pakistan,1,B,adGR652,123456,GR652,AB+,Sindh,Pakistan,139,Arts,
Aliha,20-12-2002,Female,Islam,adGR628@irex.pk,90078601,Pakistan,1,B,adGR628,123456,GR628,AB+,Sindh,Pakistan,157,Arts,
Areeba Hanif,20-12-2002,Female,Islam,adGR984@irex.pk,90078601,Pakistan,1,B,adGR984,123456,GR984,AB+,Sindh,Pakistan,973,Arts,
Asma,20-12-2002,Female,Islam,adGR582@irex.pk,90078601,Pakistan,1,B,adGR582,123456,GR582,AB+,Sindh,Pakistan,140,Arts,
Bisma,20-12-2002,Female,Islam,adGR657@irex.pk,90078601,Pakistan,1,B,adGR657,123456,GR657,AB+,Sindh,Pakistan,141,Arts,
Dua  Noor,20-12-2003,Female,Islam,adGR764@irex.pk,90078601,Pakistan,1,B,adGR764,123456,GR764,AB+,Sindh,Pakistan,151,Arts,
Haris,20-12-2004,Male,Islam,adGR836@irex.pk,90078601,Pakistan,1,B,adGR836,123456,GR836,AB+,Sindh,Pakistan,138,Arts,
Huzaifa,20-12-2005,Female,Islam,adGR606@irex.pk,90078601,Pakistan,1,B,adGR606,123456,GR606,AB+,Sindh,Pakistan,142,Arts,
Iqra,20-12-2006,Female,Islam,adGR595@irex.pk,90078601,Pakistan,1,B,adGR595,123456,GR595,AB+,Sindh,Pakistan,143,Arts,
Junaid,20-12-2007,Male,Islam,adGR673@irex.pk,90078601,Pakistan,1,B,adGR673,123456,GR673,AB+,Sindh,Pakistan,136,Arts,
Kashif  Mehmoud,20-12-2008,Male,Islam,adGR943@irex.pk,90078601,Pakistan,1,B,adGR943,123456,GR943,AB+,Sindh,Pakistan,153,Arts,
Muhammad Adeel,20-12-2009,Male,Islam,adGR627@irex.pk,90078601,Pakistan,1,B,adGR627,123456,GR627,AB+,Sindh,Pakistan,144,Arts,
Muhammad Bilal,20-12-2010,Male,Islam,adGR634@irex.pk,90078601,Pakistan,1,B,adGR634,123456,GR634,AB+,Sindh,Pakistan,145,Arts,
Mursaleen,20-12-2011,Male,Islam,adGR686@irex.pk,90078601,Pakistan,1,B,adGR686,123456,GR686,AB+,Sindh,Pakistan,146,Arts,
Noor - Ul - Ain,20-12-2012,Female,Islam,adGR602@irex.pk,90078601,Pakistan,1,B,adGR602,123456,GR602,AB+,Sindh,Pakistan,156,Arts,
Omer,20-12-2013,Male,Islam,adGR399@irex.pk,90078601,Pakistan,1,B,adGR399,123456,GR399,AB+,Sindh,Pakistan,160,Arts,
Rehan,20-12-2014,Male,Islam,adGR623@irex.pk,90078601,Pakistan,1,B,adGR623,123456,GR623,AB+,Sindh,Pakistan,147,Arts,
Saffa,20-12-2015,Female,Islam,adGR564@irex.pk,90078601,Pakistan,1,B,adGR564,123456,GR564,AB+,Sindh,Pakistan,148,Arts,
Safia,20-12-2016,Female,Islam,adGR607@irex.pk,90078601,Pakistan,1,B,adGR607,123456,GR607,AB+,Sindh,Pakistan,149,Arts,
Sameer,20-12-2017,Male,Islam,adGR729@irex.pk,90078601,Pakistan,1,B,adGR729,123456,GR729,AB+,Sindh,Pakistan,137,Arts,
Sawira,20-12-2018,Female,Islam,adGR717@irex.pk,90078601,Pakistan,1,B,adGR717,123456,GR717,AB+,Sindh,Pakistan,154,Arts,
Shan,20-12-2019,Male,Islam,adGR575@irex.pk,90078601,Pakistan,1,B,adGR575,123456,GR575,AB+,Sindh,Pakistan,155,Arts,
Uzair,20-12-2020,Male,Islam,adGR605@irex.pk,90078601,Pakistan,1,B,adGR605,123456,GR605,AB+,Sindh,Pakistan,150,Arts,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
