Name,Dob,Gender,Religion,Email,Phone,Address,Class,Section,Username,Password,Roll,BloodGroup,State,Country,RegistrationNO,Group,OptionalSubject
Ayesha,20-12-2001,Female,Islam,GR384@irex.com,90078601,Pakistan,2,A,AyeshaGR384,123456,GR384,AB+,Sindh,Pakistan,198,Arts,
Ayesha,20-12-2001,Female,Islam,GR915@irex.com,90078601,Pakistan,2,A,AyeshaGR915,123456,GR915,AB+,Sindh,Pakistan,219,Arts,
Abdul  Shahab,20-12-2002,Male,Islam,GR762@irex.pk,90078601,Pakistan,3,A,GR762,123456,GR762,AB+,Sindh,Pakistan,250,Arts,
Abdul  Moaiz,20-12-2003,Male,Islam,GR760@irex.pk,90078601,Pakistan,3,A,GR760,123456,GR760,AB+,Sindh,Pakistan,251,Arts,
Abdul  Basit,20-12-2004,Male,Islam,GR962@irex.pk,90078601,Pakistan,3,A,GR962,123456,GR962,AB+,Sindh,Pakistan,271,Arts,
Alishba,20-12-2005,Female,Islam,GR905@irex.pk,90078601,Pakistan,3,A,GR905,123456,GR905,AB+,Sindh,Pakistan,236,Arts,
Amna,20-12-2006,Female,Islam,GR328@irex.pk,90078601,Pakistan,3,A,GR328,123456,GR328,AB+,Sindh,Pakistan,266,Arts,
Anees M Khaild,20-12-2007,Male,Islam,GR222@irex.pk,90078601,Pakistan,3,A,GR222,123456,GR222,AB+,Sindh,Pakistan,301,Arts,
Anjel,20-12-2008,Male,Islam,GR689@irex.pk,90078601,Pakistan,3,A,GR689,123456,GR689,AB+,Sindh,Pakistan,265,Arts,
Arisha,20-12-2009,Female,Islam,GR379@irex.pk,90078601,Pakistan,3,A,GR379,123456,GR379,AB+,Sindh,Pakistan,263,Arts,
Asif  Abdullah,20-12-2010,Male,Islam,GR483@irex.pk,90078601,Pakistan,3,A,GR483,123456,GR483,AB+,Sindh,Pakistan,233,Arts,
Asma,20-12-2011,Female,Islam,GR427@irex.pk,90078601,Pakistan,3,A,GR427,123456,GR427,AB+,Sindh,Pakistan,264,Arts,
Awais,20-12-2012,Male,Islam,GR406@irex.pk,90078601,Pakistan,3,A,GR406,123456,GR406,AB+,Sindh,Pakistan,252,Arts,
Ayesha,20-12-2013,Female,Islam,GR469@irex.pk,90078601,Pakistan,3,A,GR469,123456,GR469,AB+,Sindh,Pakistan,262,Arts,
Bilawal,20-12-2014,Male,Islam,GR580@irex.pk,90078601,Pakistan,3,A,GR580,123456,GR580,AB+,Sindh,Pakistan,234,Arts,
Ejaz,20-12-2015,Male,Islam,GR621@irex.pk,90078601,Pakistan,3,A,GR621,123456,GR621,AB+,Sindh,Pakistan,249,Arts,
Eman,20-12-2016,Female,Islam,GR503@irex.pk,90078601,Pakistan,3,A,GR503,123456,GR503,AB+,Sindh,Pakistan,239,Arts,
Farah,20-12-2017,Female,Islam,GR785@irex.pk,90078601,Pakistan,3,A,GR785,123456,GR785,AB+,Sindh,Pakistan,267,Arts,
Ghulam  Mustafa,20-12-2018,Male,Islam,GR289@irex.pk,90078601,Pakistan,3,A,GR289,123456,GR289,AB+,Sindh,Pakistan,235,Arts,
Gullam  Abbass,20-12-2019,Male,Islam,GR415@irex.pk,90078601,Pakistan,3,A,GR415,123456,GR415,AB+,Sindh,Pakistan,268,Arts,
Hafsa,20-12-2020,Female,Islam,GR542@irex.pk,90078601,Pakistan,3,A,GR542,123456,GR542,AB+,Sindh,Pakistan,248,Arts,
Hamza,20-12-2021,Male,Islam,GR443@irex.pk,90078601,Pakistan,3,A,GR443,123456,GR443,AB+,Sindh,Pakistan,269,Arts,
Ibrahim,20-12-2022,Male,Islam,GR953@irex.pk,90078601,Pakistan,3,A,GR953,123456,GR953,AB+,Sindh,Pakistan,274,Arts,
Jawaria,20-12-2023,Female,Islam,GR902@irex.pk,90078601,Pakistan,3,A,GR902,123456,GR902,AB+,Sindh,Pakistan,259,Arts,
Khursheed,20-12-2024,Male,Islam,GR470@irex.pk,90078601,Pakistan,3,A,GR470,123456,GR470,AB+,Sindh,Pakistan,238,Arts,
Mehwish,20-12-2025,Female,Islam,GR366@irex.pk,90078601,Pakistan,3,A,GR366,123456,GR366,AB+,Sindh,Pakistan,253,Arts,
Mudasir,20-12-2026,Male,Islam,GR583@irex.pk,90078601,Pakistan,3,A,GR583,123456,GR583,AB+,Sindh,Pakistan,245,Arts,
Muhammad Sagheer,20-12-2027,Male,Islam,GR675@irex.pk,90078601,Pakistan,3,A,GR675,123456,GR675,AB+,Sindh,Pakistan,247,Arts,
Muhammad Umar,20-12-2028,Male,Islam,GR942@irex.pk,90078601,Pakistan,3,A,GR942,123456,GR942,AB+,Sindh,Pakistan,270,Arts,
Muzammil,20-12-2029,Male,Islam,GR426@irex.pk,90078601,Pakistan,3,A,GR426,123456,GR426,AB+,Sindh,Pakistan,246,Arts,
Noor  Fatima,20-12-2030,Female,Islam,GR754@irex.pk,90078601,Pakistan,3,A,GR754,123456,GR754,AB+,Sindh,Pakistan,254,Arts,
Rabia,20-12-2031,Female,Islam,GR576@irex.pk,90078601,Pakistan,3,A,GR576,123456,GR576,AB+,Sindh,Pakistan,255,Arts,
Rashda,20-12-2032,Female,Islam,GR780@irex.pk,90078601,Pakistan,3,A,GR780,123456,GR780,AB+,Sindh,Pakistan,240,Arts,
Rashid,20-12-2033,Male,Islam,GR392@irex.pk,90078601,Pakistan,3,A,GR392,123456,GR392,AB+,Sindh,Pakistan,256,Arts,
Rehan,20-12-2034,Male,Islam,GR465@irex.pk,90078601,Pakistan,3,A,GR465,123456,GR465,AB+,Sindh,Pakistan,261,Arts,
Samreen Fazal,20-12-2035,Female,Islam,GR975@irex.pk,90078601,Pakistan,3,A,GR975,123456,GR975,AB+,Sindh,Pakistan,273,Arts,
Sarfaraz,20-12-2036,Male,Islam,GR789@irex.pk,90078601,Pakistan,3,A,GR789,123456,GR789,AB+,Sindh,Pakistan,257,Arts,
Shaista,20-12-2037,Female,Islam,GR801@irex.pk,90078601,Pakistan,3,A,GR801,123456,GR801,AB+,Sindh,Pakistan,243,Arts,
Shameer,20-12-2038,Female,Islam,GR547@irex.pk,90078601,Pakistan,3,A,GR547,123456,GR547,AB+,Sindh,Pakistan,258,Arts,
Sufyan  Jahangeer,20-12-2039,Male,Islam,GR770@irex.pk,90078601,Pakistan,3,A,GR770,123456,GR770,AB+,Sindh,Pakistan,241,Arts,
Sumiya,20-12-2040,Female,Islam,GR815@irex.pk,90078601,Pakistan,3,A,GR815,123456,GR815,AB+,Sindh,Pakistan,242,Arts,
Uzair,20-12-2041,Male,Islam,GR888@irex.pk,90078601,Pakistan,3,A,GR888,123456,GR888,AB+,Sindh,Pakistan,244,Arts,
Zunaira,20-12-2042,Female,Islam,GR579@irex.pk,90078601,Pakistan,3,A,GR579,123456,GR579,AB+,Sindh,Pakistan,260,Arts,
